jahr,monat,bundesstaat,magnitude,streckenlaenge,breite,verletzte,todesopfer
1950,1,IL,3,3.6,130,3,0
1950,1,MO,3,9.5,150,3,0
1950,1,OH,1,0.1,10,1,0
1950,1,AR,3,0.6,17,1,1
1950,1,IL,2,0.1,100,0,0
1950,1,MO,2,2.3,300,5,0
1950,1,TX,2,4.7,133,2,0
1950,2,TX,2,9.9,400,0,0
1950,2,TX,2,4.6,100,5,0
1950,2,TX,2,4.5,67,6,0
1950,2,TX,3,12.0,1000,12,1
1950,2,AR,2,0.1,100,0,0
1950,2,AR,2,5.7,100,0,0
1950,2,LA,1,0.5,33,0,0
1950,2,LA,2,58.4,100,10,5
1950,2,LA,3,74.5,100,25,5
1950,2,LA,4,82.6,100,77,18
1950,2,MS,1,2.0,10,0,0
1950,2,MS,2,0.1,10,2,3
1950,2,TX,1,2.3,233,0,0
1950,2,TX,1,7.7,100,32,0
1950,2,TX,2,3.4,100,0,0
1950,2,TX,2,8.0,833,8,1
1950,2,TX,3,1.9,50,15,3
1950,2,TN,1,0.2,10,8,0
1950,2,TN,2,0.2,10,1,9
1950,2,OK,2,2.0,50,0,0
1950,3,MS,1,0.1,10,0,0
1950,3,FL,2,1.5,150,0,0
1950,3,LA,0,18.1,27,0,0
1950,3,LA,1,2.0,33,2,0
1950,3,LA,2,1.0,50,0,0
1950,3,AR,2,17.4,150,3,0
1950,3,AR,2,10.4,600,7,0
1950,3,AR,2,5.4,833,2,0
1950,3,AR,3,5.7,200,1,0
1950,3,AR,3,14.9,1760,20,0
1950,3,IL,2,3.0,50,0,0
1950,3,LA,1,15.3,17,2,0
1950,3,LA,1,0.5,27,0,0
1950,3,MS,1,0.1,10,2,0
1950,3,MS,2,11.9,10,0,0
1950,3,MS,2,59.3,50,7,0
1950,3,MS,2,31.9,50,6,0
1950,3,MS,2,4.7,10,0,0
1950,3,MS,2,0.1,10,2,1
1950,3,OK,2,0.1,77,0,0
1950,3,TN,1,0.2,10,0,0
1950,4,AR,1,0.8,100,0,0
1950,4,AR,3,2.5,10,8,1
1950,4,OK,2,1.0,100,0,0
1950,4,OK,1,1.0,33,0,0
1950,4,AL,2,2.0,150,0,0
1950,4,AL,3,14.0,100,15,0
1950,4,LA,1,2.0,100,0,0
1950,4,SC,1,0.7,37,0,0
1950,4,KS,1,19.8,10,0,0
1950,4,OK,2,0.8,100,0,0
1950,4,OK,3,20.8,400,1,1
1950,4,OK,4,4.5,200,32,5
1950,4,TX,4,1.3,233,5,5
1950,4,MS,2,11.3,100,0,0
1950,4,TX,1,11.5,200,0,0
1950,5,LA,0,1.0,100,0,0
1950,5,LA,1,2.0,100,0,0
1950,5,LA,1,15.4,150,0,0
1950,5,LA,1,1.0,100,2,0
1950,5,LA,2,3.6,100,7,0
1950,5,MS,1,0.1,10,0,0
1950,5,MS,1,0.1,10,0,0
1950,5,LA,1,32.8,150,1,0
1950,5,LA,2,2.0,100,5,1
1950,5,IA,1,0.1,10,0,0
1950,5,KS,1,0.1,10,0,0
1950,5,KS,4,34.3,150,1,0
1950,5,OK,1,0.1,10,0,0
1950,5,OK,2,5.6,293,0,0
1950,5,OK,2,1.0,100,0,0
1950,5,TX,2,1.9,50,13,1
1950,5,KS,3,17.3,440,12,0
